trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,total_amount
1.74,-73.972000122070313,40.782207489013672,-73.979446411132813,40.765392303466797,14.3
2.70,-73.995498657226562,40.733222961425781,-73.9765625,40.763843536376953,17.25
2.61,-73.977920532226563,40.736595153808594,-73.9588623046875,40.763870239257813,15.36
1.24,-73.997398376464844,40.736751556396484,-73.983940124511719,40.747100830078125,13.56
1.95,-73.978759765625,40.781620025634766,-73.981437683105469,40.759258270263672,14.8
1.50,-73.982864379882813,40.745361328125,-73.973899841308594,40.762931823730469,13.3
2.25,-74.001640319824219,40.746658325195313,-74.009719848632812,40.722511291503906,12.3
1.98,-73.963409423828125,40.803653717041016,-73.974655151367188,40.779880523681641,15.36
1.34,-73.978904724121094,40.741966247558594,-73.977287292480469,40.755809783935547,12.36
3.22,-73.951309204101563,40.774444580078125,-73.9739990234375,40.738380432128906,17.25
3.28,-73.970588684082031,40.794082641601563,-73.978057861328125,40.757015228271484,13.8
1.30,-73.995559692382813,40.759456634521484,-73.975288391113281,40.755947113037109,14.15
1.80,-73.99609375,40.732486724853516,-74.009284973144531,40.715267181396484,11.75
2.20,-73.946052551269531,40.792381286621094,-73.970062255859375,40.801525115966797,19.55
.60,-73.962409973144531,40.761211395263672,-73.970123291015625,40.758026123046875,12.85
2.17,-73.957061767578125,40.769149780273437,-73.981254577636719,40.753753662109375,19.56
1.00,-73.984260559082031,40.759567260742187,-73.981758117675781,40.766960144042969,10.14
1.67,-73.993644714355469,40.734195709228516,-73.978721618652344,40.75091552734375,11.3
1.30,-73.976974487304688,40.747276306152344,-73.983283996582031,40.734619140625,10.35
.90,-73.990432739257813,40.756790161132813,-73.976875305175781,40.755157470703125,11.8
1.96,-73.996604919433594,40.737785339355469,-73.982383728027344,40.761695861816406,12.96
1.81,-73.952835083007813,40.783039093017578,-73.970962524414063,40.765743255615234,14.3
1.09,-73.966041564941406,40.805301666259766,-73.95233154296875,40.803279876708984,11.16
1.82,-73.959541320800781,40.780288696289063,-73.976982116699219,40.758628845214844,14.3
2.60,-73.991500854492187,40.727260589599609,-73.981124877929688,40.758438110351563,19.9
1.11,-73.971427917480469,40.746688842773438,-73.974639892578125,40.740211486816406,11.8
2.28,-74.017776489257813,40.709430694580078,-73.99725341796875,40.725498199462891,13.3
2.00,-73.9832763671875,40.74462890625,-73.961433410644531,40.760269165039063,18.5
1.00,-73.978401184082031,40.75213623046875,-73.99200439453125,40.754108428955078,10.75
1.30,-73.990066528320312,40.719425201416016,-73.999893188476562,40.708057403564453,10.55
1.70,-73.979598999023437,40.740718841552734,-74.005096435546875,40.751502990722656,12.36
1.90,-73.990959167480469,40.744979858398437,-73.987533569335938,40.766975402832031,15.3
2.69,-73.962944030761719,40.799037933349609,-73.965217590332031,40.769786834716797,17.16
2.18,-73.997314453125,40.746826171875,-73.980415344238281,40.773117065429687,17.76
1.16,-73.961967468261719,40.777130126953125,-73.963638305664063,40.764522552490234,11.3
1.80,-73.950584411621094,40.774913787841797,-73.968925476074219,40.757518768310547,17.75
1.70,-73.986152648925781,40.734619140625,-73.987106323242187,40.753658294677734,13.3
2.38,-74.011177062988281,40.718997955322266,-73.993125915527344,40.743061065673828,15.3
1.49,-73.993255615234375,40.741714477539063,-73.984893798828125,40.758800506591797,11.76
1.80,-74.002609252929688,40.728988647460938,-73.982803344726563,40.746051788330078,12.95
1.90,-73.971115112304688,40.761142730712891,-73.991256713867188,40.742210388183594,15.95
1.00,-73.977470397949219,40.751735687255859,-73.976753234863281,40.744213104248047,10.55
1.00,-74.012939453125,40.707599639892578,-74.008224487304688,40.703662872314453,10.8
2.43,-73.989242553710938,40.730388641357422,-73.968498229980469,40.760780334472656,17.76
2.26,-73.98406982421875,40.779743194580078,-73.975883483886719,40.758407592773438,16.8
1.24,-73.996696472167969,40.742790222167969,-73.981040954589844,40.745140075683594,11.76
2.30,-73.9918212890625,40.764739990234375,-73.98480224609375,40.742172241210937,15.8
2.40,-73.9921875,40.737796783447266,-73.973182678222656,40.758499145507813,16.55
3.13,-74.015190124511719,40.716091156005859,-73.994834899902344,40.750148773193359,18.5
1.00,-73.98297119140625,40.741870880126953,-73.991188049316406,40.749111175537109,10.56
.86,-73.993766784667969,40.727199554443359,-74.006828308105469,40.728748321533203,10.38
1.00,-74.000701904296875,40.720668792724609,-74.011009216308594,40.708183288574219,11.8
3.20,-73.972709655761719,40.744384765625,-73.996726989746094,40.725479125976562,16.8
1.80,-73.965362548828125,40.771610260009766,-73.976333618164062,40.749748229980469,14.3
1.86,-73.975593566894531,40.757816314697266,-73.992294311523438,40.739471435546875,13.8
1.40,-74.000457763671875,40.737602233886719,-73.997360229492188,40.724506378173828,10.35
1.74,-73.944244384765625,40.780143737792969,-73.960601806640625,40.760768890380859,12.96
1.93,-73.952056884765625,40.786548614501953,-73.962432861328125,40.804931640625,12.8
2.24,-73.982658386230469,40.761661529541016,-73.998680114746094,40.734832763671875,12.96
1.38,-73.977874755859375,40.753265380859375,-73.996612548828125,40.763317108154297,11.76
1.30,-73.991256713867188,40.750057220458984,-73.974388122558594,40.75408935546875,13.55
2.47,-73.991645812988281,40.729598999023438,-73.972770690917969,40.758861541748047,17.25
4.50,-73.986404418945313,40.758766174316406,-74.014793395996094,40.711315155029297,19.3
1.50,-73.992630004882813,40.748695373535156,-73.979820251464844,40.753005981445313,12.96
1.60,-73.954429626464844,40.784019470214844,-73.969085693359375,40.763664245605469,12.35
1.94,-73.982879638671875,40.730857849121094,-73.987464904785156,40.712890625,12.96
3.38,-73.981559753417969,40.73712158203125,-73.98419189453125,40.693733215332031,19.56
2.50,-73.960830688476562,40.811721801757813,-73.981101989746094,40.780147552490234,17.15
1.40,-73.991539001464844,40.749847412109375,-73.979164123535156,40.750324249267578,11.8
2.40,-73.970970153808594,40.751777648925781,-74.002212524414063,40.745243072509766,17.75
1.00,-73.993675231933594,40.749851226806641,-73.985755920410156,40.762905120849609,12.05
2.50,-73.952247619628906,40.765899658203125,-73.976043701171875,40.744522094726563,16.6
3.20,-73.949897766113281,40.771900177001953,-73.986106872558594,40.756458282470703,19.8
1.05,-73.964576721191406,40.755779266357422,-73.9781494140625,40.752429962158203,11.76
.74,-73.978240966796875,40.754009246826172,-73.971298217773438,40.76361083984375,11.16
1.60,-73.954765319824219,40.765460968017578,-73.9715576171875,40.750404357910156,13.35
2.20,-74.007331848144531,40.733383178710938,-73.98443603515625,40.754375457763672,14.15
.97,-73.971458435058594,40.762302398681641,-73.982803344726563,40.763320922851563,11.76
2.00,-73.966690063476563,40.752986907958984,-73.991172790527344,40.742416381835938,18.36
1.10,-73.990509033203125,40.756206512451172,-73.977119445800781,40.764171600341797,13.5
1.30,-73.949981689453125,40.780345916748047,-73.961540222167969,40.763435363769531,12.8
1.50,-73.993003845214844,40.727798461914063,-73.993873596191406,40.740890502929688,12.95
3.25,-73.961448669433594,40.768722534179687,-73.971549987792969,40.746303558349609,13.8
